Fecha (dd/mm/aaaa) ,Clasificación de la Entidad,Clase de Cuenta,Orden,Cuenta,Tasa (%),Monto (COP)
07/02/2008,Total establecimientos,CDT,111,A 180 días,9.20767849632086,39754.17638
07/02/2008,Total establecimientos,CDT,113,A 360 días,7.87700781085351,4920.49554
07/03/2008,Total establecimientos,CDT,107,A 90 días,9.24693691483245,124124.75823
07/03/2008,Total establecimientos,CDT,111,A 180 días,8.54413359699912,34973.21892
07/03/2008,Total establecimientos,CDT,113,A 360 días,8.85518627531705,10356.4773
07/04/2008,Total establecimientos,CDT,107,A 90 días,8.95944369128691,54279.28807
07/04/2008,Total establecimientos,CDT,111,A 180 días,8.99018065591675,30041.17303
07/04/2008,Total establecimientos,CDT,113,A 360 días,9.05505529118172,6429.09346
07/07/2008,Total establecimientos,CDT,107,A 90 días,9.38632395241134,127200.0164
07/07/2008,Total establecimientos,CDT,111,A 180 días,9.16672801281644,59192.19567
07/07/2008,Total establecimientos,CDT,113,A 360 días,8.898682024065,9707.83475
07/08/2008,Total establecimientos,CDT,107,A 90 días,9.91973326510612,137572.55889
07/08/2008,Total establecimientos,CDT,111,A 180 días,9.70852413088537,63315.92788
07/08/2008,Total establecimientos,CDT,113,A 360 días,10.0106874025775,15204.3272
07/09/2008,Total establecimientos,CDT,107,A 90 días,9.80773920449902,130159.26875
07/09/2008,Total establecimientos,CDT,111,A 180 días,9.58733943711871,82922.80019
07/09/2008,Total establecimientos,CDT,113,A 360 días,7.7999534175875,5892.31746
07/10/2008,Total establecimientos,CDT,107,A 90 días,9.79421336625986,93879.89222
07/10/2008,Total establecimientos,CDT,111,A 180 días,8.98368451674501,28284.13744
07/10/2008,Total establecimientos,CDT,113,A 360 días,9.27708995695757,11950.82272
07/11/2008,Total establecimientos,CDT,107,A 90 días,8.78345094109691,51965.25313
07/11/2008,Total establecimientos,CDT,111,A 180 días,9.01485871561718,35059.02485
07/11/2008,Total establecimientos,CDT,113,A 360 días,8.66289574290031,6595.6105
07/14/2008,Total establecimientos,CDT,107,A 90 días,9.42687194889593,133014.79499
07/14/2008,Total establecimientos,CDT,111,A 180 días,9.37669322793798,82787.01538
07/14/2008,Total establecimientos,CDT,113,A 360 días,8.85407547833189,10424.15213
07/15/2008,Total establecimientos,CDT,107,A 90 días,9.72942249121154,91699.47234
07/15/2008,Total establecimientos,CDT,111,A 180 días,9.53881616082678,40800.40469
07/15/2008,Total establecimientos,CDT,113,A 360 días,10.2186078126819,15940.20512
07/16/2008,Total establecimientos,CDT,107,A 90 días,10.000967472127,148145.03102
07/16/2008,Total establecimientos,CDT,111,A 180 días,9.52995051249846,51718.48835
07/16/2008,Total establecimientos,CDT,113,A 360 días,10.5045273049639,25708.08944
07/17/2008,Total establecimientos,CDT,107,A 90 días,9.70117865008649,87688.47424
07/17/2008,Total establecimientos,CDT,111,A 180 días,9.367704381872,43403.1278
07/17/2008,Total establecimientos,CDT,113,A 360 días,9.21374284130841,7904.27974
07/18/2008,Total establecimientos,CDT,107,A 90 días,7.97789654533815,48657.30889
07/18/2008,Total establecimientos,CDT,111,A 180 días,8.99876917968909,35926.06652
07/18/2008,Total establecimientos,CDT,113,A 360 días,8.57034584034863,7432.88136
07/21/2008,Total establecimientos,CDT,107,A 90 días,9.28833238171861,122138.66548
07/21/2008,Total establecimientos,CDT,111,A 180 días,9.72019395815917,85857.40134
07/21/2008,Total establecimientos,CDT,113,A 360 días,9.12445487803135,9479.51262
07/22/2008,Total establecimientos,CDT,107,A 90 días,9.85947249603447,88639.16028
07/22/2008,Total establecimientos,CDT,111,A 180 días,9.20887150144693,31519.69296
07/22/2008,Total establecimientos,CDT,113,A 360 días,9.79757787498452,6397.94949
07/23/2008,Total establecimientos,CDT,107,A 90 días,9.80967901623544,115424.9234
07/23/2008,Total establecimientos,CDT,111,A 180 días,10.1268059983813,95334.02652
07/23/2008,Total establecimientos,CDT,113,A 360 días,9.62118931232469,13190.79323
07/24/2008,Total establecimientos,CDT,107,A 90 días,10.1146536098581,147745.4766
07/24/2008,Total establecimientos,CDT,111,A 180 días,9.42265910183177,39462.71008
07/24/2008,Total establecimientos,CDT,113,A 360 días,9.85100174432265,8851.86889
07/25/2008,Total establecimientos,CDT,107,A 90 días,8.94125297934434,54111.49495
07/25/2008,Total establecimientos,CDT,111,A 180 días,9.42718085531829,51527.82688
07/25/2008,Total establecimientos,CDT,113,A 360 días,8.50780295705482,6151.70698
07/28/2008,Total establecimientos,CDT,107,A 90 días,9.5150074787737,130664.35583
07/28/2008,Total establecimientos,CDT,111,A 180 días,9.93305757160871,108831.08546
07/28/2008,Total establecimientos,CDT,113,A 360 días,9.10176623833998,9521.19496
07/29/2008,Total establecimientos,CDT,107,A 90 días,10.0520653084109,119548.97008
07/29/2008,Total establecimientos,CDT,111,A 180 días,10.2823902073323,95261.55528
07/29/2008,Total establecimientos,CDT,113,A 360 días,9.65414575351435,7688.08365
07/30/2008,Total establecimientos,CDT,107,A 90 días,9.96728805537946,150714.60352
07/30/2008,Total establecimientos,CDT,111,A 180 días,10.3949572692269,131750.96867
07/30/2008,Total establecimientos,CDT,113,A 360 días,9.1526422598324,9239.47905
07/31/2008,Total establecimientos,CDT,107,A 90 días,9.70470507801622,46255.85834
07/31/2008,Total establecimientos,CDT,111,A 180 días,8.74092597284295,19013.00579
07/31/2008,Total establecimientos,CDT,113,A 360 días,9.19203792846332,3901.842
08/01/2008,Total establecimientos,CDT,107,A 90 días,8.67697499731064,37587.03186
08/01/2008,Total establecimientos,CDT,111,A 180 días,9.26865746693594,37151.97486
08/01/2008,Total establecimientos,CDT,113,A 360 días,8.84172353557717,3919.71708
08/04/2008,Total establecimientos,CDT,107,A 90 días,9.68689564840802,128109.72057
08/04/2008,Total establecimientos,CDT,111,A 180 días,9.96631732945259,90332.39764
08/04/2008,Total establecimientos,CDT,113,A 360 días,10.3756922062371,15510.4285
08/05/2008,Total establecimientos,CDT,107,A 90 días,9.98428313977065,69358.16059
08/05/2008,Total establecimientos,CDT,111,A 180 días,9.90518297383308,52958.69613
08/05/2008,Total establecimientos,CDT,113,A 360 días,9.68550928744791,4001.40575
08/06/2008,Total establecimientos,CDT,107,A 90 días,10.2115053181269,196647.58358
08/06/2008,Total establecimientos,CDT,111,A 180 días,9.99577134108331,85418.25697
08/06/2008,Total establecimientos,CDT,113,A 360 días,9.75214911254608,7919.70858
08/08/2008,Total establecimientos,CDT,107,A 90 días,8.95648860846724,61988.40051
08/08/2008,Total establecimientos,CDT,111,A 180 días,9.25981705409009,43986.55527
08/08/2008,Total establecimientos,CDT,113,A 360 días,9.42914483078237,5872.20835
08/11/2008,Total establecimientos,CDT,107,A 90 días,9.99885128366971,143595.50437
08/11/2008,Total establecimientos,CDT,111,A 180 días,9.87556427698483,87426.29941
08/11/2008,Total establecimientos,CDT,113,A 360 días,9.59996081406148,7885.47067
08/12/2008,Total establecimientos,CDT,107,A 90 días,9.94761797377662,136552.58435
08/12/2008,Total establecimientos,CDT,111,A 180 días,9.88415604004298,58397.48952
08/12/2008,Total establecimientos,CDT,113,A 360 días,10.6929052371628,14330.68377
08/13/2008,Total establecimientos,CDT,107,A 90 días,9.76402329735371,103456.79405
08/13/2008,Total establecimientos,CDT,111,A 180 días,9.94454267347918,62447.13876
08/13/2008,Total establecimientos,CDT,113,A 360 días,9.8937193039105,7218.77793
08/14/2008,Total establecimientos,CDT,107,A 90 días,9.91017292884896,98551.94352
08/14/2008,Total establecimientos,CDT,111,A 180 días,9.99343280137971,48653.88234
08/14/2008,Total establecimientos,CDT,113,A 360 días,10.7126636733036,10033.39216
08/15/2008,Total establecimientos,CDT,107,A 90 días,8.97766092541271,47016.2346
08/15/2008,Total establecimientos,CDT,111,A 180 días,8.94952425987978,24253.53629
08/15/2008,Total establecimientos,CDT,113,A 360 días,9.71164200092554,4398.38942
08/19/2008,Total establecimientos,CDT,107,A 90 días,9.6322336338643,159411.83961
08/19/2008,Total establecimientos,CDT,111,A 180 días,9.84619702731926,91394.43604
08/19/2008,Total establecimientos,CDT,113,A 360 días,10.7470900973149,18220.82416
08/20/2008,Total establecimientos,CDT,107,A 90 días,9.83223972777912,97425.1836
08/20/2008,Total establecimientos,CDT,111,A 180 días,10.1694677570846,60285.96006
08/20/2008,Total establecimientos,CDT,113,A 360 días,10.8293428236919,9392.33062
08/21/2008,Total establecimientos,CDT,107,A 90 días,10.3208731128585,202369.90478
08/21/2008,Total establecimientos,CDT,111,A 180 días,9.10636929731157,42751.59868
08/21/2008,Total establecimientos,CDT,113,A 360 días,10.3419300548453,9955.28067
08/22/2008,Total establecimientos,CDT,107,A 90 días,9.63313945019425,80557.03505
08/22/2008,Total establecimientos,CDT,111,A 180 días,9.53227925917445,36028.47198
08/22/2008,Total establecimientos,CDT,113,A 360 días,9.57077247042896,5701.68012
08/25/2008,Total establecimientos,CDT,107,A 90 días,9.90645254129218,156592.97541
08/25/2008,Total establecimientos,CDT,111,A 180 días,9.7994475795063,84827.40587
08/25/2008,Total establecimientos,CDT,113,A 360 días,11.0071702312796,23721.15084
08/26/2008,Total establecimientos,CDT,107,A 90 días,10.0837861162497,96904.54589
08/26/2008,Total establecimientos,CDT,111,A 180 días,9.88940650924982,46549.39177
08/26/2008,Total establecimientos,CDT,113,A 360 días,10.9159615846364,21700.17321
08/27/2008,Total establecimientos,CDT,107,A 90 días,10.2107276611765,180561.84165
08/27/2008,Total establecimientos,CDT,111,A 180 días,9.84735364893894,55662.36658
08/27/2008,Total establecimientos,CDT,113,A 360 días,10.5295141233763,14667.35178
08/28/2008,Total establecimientos,CDT,107,A 90 días,10.5594039502029,292249.4191
08/28/2008,Total establecimientos,CDT,111,A 180 días,9.69542469020531,34995.36662
08/28/2008,Total establecimientos,CDT,113,A 360 días,10.7996850636422,14973.74601
08/29/2008,Total establecimientos,CDT,107,A 90 días,9.0874118588811,47047.94959
08/29/2008,Total establecimientos,CDT,111,A 180 días,9.78937796817895,34351.51007
08/29/2008,Total establecimientos,CDT,113,A 360 días,10.0290830291287,5507.6828
09/01/2008,Total establecimientos,CDT,107,A 90 días,9.83661924487806,114005.46085
09/01/2008,Total establecimientos,CDT,111,A 180 días,9.98539589837899,55631.5445
09/01/2008,Total establecimientos,CDT,113,A 360 días,9.8541311739614,6962.762
09/02/2008,Total establecimientos,CDT,107,A 90 días,9.62037959619046,64684.10101
09/02/2008,Total establecimientos,CDT,111,A 180 días,9.45170109727443,22678.51432
09/02/2008,Total establecimientos,CDT,113,A 360 días,10.1568809696137,7477.84696
09/03/2008,Total establecimientos,CDT,107,A 90 días,10.0862338588254,144044.36602
09/03/2008,Total establecimientos,CDT,111,A 180 días,10.2260008383919,72835.77539
09/03/2008,Total establecimientos,CDT,113,A 360 días,10.017508671305,7556.17356
09/04/2008,Total establecimientos,CDT,107,A 90 días,10.0856532051642,117466.76122
09/04/2008,Total establecimientos,CDT,111,A 180 días,9.88782167895646,36493.37875
09/04/2008,Total establecimientos,CDT,113,A 360 días,11.0468274527804,22479.0729
09/05/2008,Total establecimientos,CDT,107,A 90 días,10.3171365254024,172620.8343
09/05/2008,Total establecimientos,CDT,111,A 180 días,10.2263261829381,68498.81387
09/05/2008,Total establecimientos,CDT,113,A 360 días,10.1753583890361,6274.75748
09/08/2008,Total establecimientos,CDT,107,A 90 días,8.92711632777673,77438.02767
09/08/2008,Total establecimientos,CDT,111,A 180 días,9.61796184368201,63128.08443
09/08/2008,Total establecimientos,CDT,113,A 360 días,10.4683917889663,11674.61562
09/09/2008,Total establecimientos,CDT,107,A 90 días,10.1506701015134,104452.03976
09/09/2008,Total establecimientos,CDT,111,A 180 días,10.3042625407868,37679.40907
09/09/2008,Total establecimientos,CDT,113,A 360 días,10.6166204103983,7151.46901
09/10/2008,Total establecimientos,CDT,107,A 90 días,9.60462617478291,93789.54753
09/10/2008,Total establecimientos,CDT,111,A 180 días,10.3046111910314,90090.9218
09/10/2008,Total establecimientos,CDT,113,A 360 días,9.98384035013987,8599.21921
09/11/2008,Total establecimientos,CDT,107,A 90 días,10.3629396327622,126959.94095
09/11/2008,Total establecimientos,CDT,111,A 180 días,10.690626552176,119131.66622
