DIRECTORIO,REGION,DPTO_CAUCA,P3,P4090,P4000,P4031S1,P4031S1A1,P4031S2,P4031S3,P4031S4,P4031S4A1,P4031S5,P70,FEX_P
112450,3,,1,1,3,1,2,2,2,1,2,1,1,106.76504094
112451,5,,1,1,1,1,1,1,1,1,3,1,1,220.77117208
112452,5,,1,1,1,1,1,2,1,1,3,1,1,176.2772556
112453,5,,1,1,1,1,3,2,1,1,3,1,1,380.8480603
112454,5,,1,1,1,1,3,2,1,1,3,1,1,344.27444389
112455,5,,1,1,2,1,2,1,1,1,3,1,1,518.07310159
112456,5,,1,1,2,1,2,1,1,1,3,1,1,532.62103408
112457,5,,1,1,1,1,4,2,1,1,3,1,1,458.8186675
112458,5,,1,1,1,1,4,2,1,1,3,1,1,653.94166335
112459,5,,1,1,2,1,2,1,1,1,3,1,1,551.8321084
112460,5,,1,1,2,1,4,1,1,1,3,1,1,479.95084925
112461,5,,1,1,2,1,3,2,1,1,6,1,1,362.45092592
112464,5,,1,1,2,1,3,2,1,1,3,1,1,219.84356648
112465,5,,1,1,2,1,3,1,1,1,3,2,1,204.02499067
112466,5,,1,1,2,1,2,1,1,1,6,1,1,330.99956637
112467,4,,1,1,2,1,3,1,1,1,2,1,1,968.87758727
112468,4,,1,1,2,1,3,1,1,1,2,1,1,968.87758727
112469,4,,1,1,2,1,3,1,1,1,3,1,1,968.87758727
112470,4,,1,1,2,1,3,1,1,1,2,1,1,662.9484508
112471,4,,1,1,2,1,3,1,1,1,2,1,1,662.9484508
112472,4,,1,1,2,1,3,1,1,1,2,1,1,662.9484508
112473,4,,1,1,2,1,6,1,1,1,3,1,1,1120.0097698
112474,4,,1,1,2,1,6,1,1,1,3,1,1,999.64558192
112475,4,,1,1,1,1,2,1,1,1,2,1,1,1087.205011
112476,4,,1,1,1,1,2,1,1,1,3,1,1,589.06890462
112477,4,,1,1,1,1,2,1,1,1,3,1,1,649.83402526
112478,4,,1,1,1,1,2,1,1,1,3,1,1,810.33401684
112479,4,,1,1,1,1,2,1,1,1,3,1,1,640.41846267
112480,4,,1,1,1,1,2,1,1,1,3,1,1,620.41535287
112481,4,,1,1,1,1,2,1,1,1,3,1,1,712.83069758
