Orden,Cuentas,Valor,Unidad de medida y moneda,Fecha (Año),Estados de la informacion,Periodicidad,Trimestre
2,         Crédito (exportaciones),18284.706425,Millones - Dólares estadounidenses corrientes,2014,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),19411.251861,Millones - Dólares estadounidenses corrientes,2014,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),20312.840417,Millones - Dólares estadounidenses corrientes,2014,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),17601.184514,Millones - Dólares estadounidenses corrientes,2014,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),58166.47657,Millones - Dólares estadounidenses corrientes,2015,Dato revisado,Anual,
2,         Crédito (exportaciones),14771.142646,Millones - Dólares estadounidenses corrientes,2015,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),15013.673768,Millones - Dólares estadounidenses corrientes,2015,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),14629.648407,Millones - Dólares estadounidenses corrientes,2015,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),13752.011749,Millones - Dólares estadounidenses corrientes,2015,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),54747.60771,Millones - Dólares estadounidenses corrientes,2016,Dato revisado,Anual,
2,         Crédito (exportaciones),12091.107634,Millones - Dólares estadounidenses corrientes,2016,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),13653.903585,Millones - Dólares estadounidenses corrientes,2016,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),13955.596427,Millones - Dólares estadounidenses corrientes,2016,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),15047.000064,Millones - Dólares estadounidenses corrientes,2016,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),62655.066192,Millones - Dólares estadounidenses corrientes,2017,Dato revisado,Anual,
2,         Crédito (exportaciones),14430.257844,Millones - Dólares estadounidenses corrientes,2017,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),15130.540204,Millones - Dólares estadounidenses corrientes,2017,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),15881.981396,Millones - Dólares estadounidenses corrientes,2017,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),17212.286748,Millones - Dólares estadounidenses corrientes,2017,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),68799.732056,Millones - Dólares estadounidenses corrientes,2018,Dato revisado,Anual,
2,         Crédito (exportaciones),16147.118063,Millones - Dólares estadounidenses corrientes,2018,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),17297.564613,Millones - Dólares estadounidenses corrientes,2018,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),17452.206449,Millones - Dólares estadounidenses corrientes,2018,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),17902.842931,Millones - Dólares estadounidenses corrientes,2018,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),68318.338788,Millones - Dólares estadounidenses corrientes,2019,Dato revisado,Anual,
2,         Crédito (exportaciones),16551.39641,Millones - Dólares estadounidenses corrientes,2019,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),17745.923948,Millones - Dólares estadounidenses corrientes,2019,Dato revisado,Trimestral,Q2
2,         Crédito (exportaciones),16914.940906,Millones - Dólares estadounidenses corrientes,2019,Dato revisado,Trimestral,Q3
2,         Crédito (exportaciones),17106.077524,Millones - Dólares estadounidenses corrientes,2019,Dato revisado,Trimestral,Q4
2,         Crédito (exportaciones),52420.199987,Millones - Dólares estadounidenses corrientes,2020,Dato revisado,Anual,
2,         Crédito (exportaciones),15112.769243,Millones - Dólares estadounidenses corrientes,2020,Dato revisado,Trimestral,Q1
2,         Crédito (exportaciones),10693.135836,Millones - Dólares estadounidenses corrientes,2020,Dato revisado,Trimestral,Q2
